YYYYMMDD,DDVEC,FHVEC,FG,TG,SQ,SP,Q,DR,RH,PG,NG,UG,EV24
20000101,237,21,25,61,0,0,93,20,10,10240,7,97,1
20000102,205,36,37,73,0,0,68,0,-1,10267,8,97,1
20000103,212,57,61,84,0,0,35,64,45,10203,8,94,0
20000104,231,23,38,64,0,0,30,82,109,10142,7,94,0
20000105,191,37,40,44,65,82,347,0,0,10183,3,90,4
20000106,206,49,52,72,10,13,112,19,19,10152,6,91,2
20000107,208,46,48,61,0,0,149,0,0,10199,7,92,2
20000108,211,42,43,54,8,10,63,27,17,10173,6,94,1
20000109,271,14,15,8,57,71,354,0,0,10257,1,94,4
20000110,163,17,18,-8,58,72,427,0,0,10357,3,97,4
20000111,186,40,40,21,29,36,295,0,0,10352,6,87,3
20000112,191,54,54,7,67,83,360,0,0,10276,5,85,4
20000113,184,41,42,20,13,16,227,0,-1,10173,7,83,3
20000114,180,18,20,29,0,0,122,0,-1,10215,8,98,1
20000115,19,27,27,32,33,40,302,0,-1,10351,7,90,4
20000116,313,26,26,54,0,0,116,9,3,10358,8,95,1
20000117,322,45,47,64,5,6,82,1,1,10305,7,93,1
20000118,339,61,62,66,16,19,223,10,3,10269,7,84,3
20000119,328,28,29,39,0,0,175,3,1,10321,7,87,2
20000120,279,37,38,52,0,0,92,31,15,10293,7,87,1
20000121,311,33,37,52,19,22,255,3,1,10257,6,87,3
20000122,299,34,40,47,17,20,250,52,53,10115,6,90,3
20000123,23,32,33,11,9,10,203,0,-1,10188,6,85,2
20000124,174,12,17,-28,77,89,600,0,0,10254,3,76,6
20000125,223,29,31,5,31,36,360,0,0,10283,5,83,4
20000126,229,32,33,24,45,51,398,0,-1,10313,7,89,5
20000127,228,54,54,24,0,0,86,0,-1,10270,7,86,1
20000128,222,70,71,32,0,0,134,18,3,10135,7,86,2
20000129,241,90,94,90,0,0,77,65,95,9961,8,87,1
20000130,257,59,63,91,1,1,162,1,1,10098,7,82,2
20000131,249,70,73,97,0,0,58,30,36,10184,8,87,1
20000201,228,69,69,90,7,8,277,21,14,10163,8,82,4
20000202,269,42,47,74,44,48,474,71,74,10171,4,87,6
20000203,271,32,38,64,27,29,354,0,-1,10308,5,85,5
20000204,230,64,64,76,0,0,128,33,23,10308,8,91,2
20000205,214,46,49,84,75,81,584,0,-1,10272,5,75,8
20000206,206,45,46,76,0,0,132,13,6,10183,8,88,2
20000207,223,63,68,79,35,37,403,68,69,10106,7,87,6
20000208,248,67,73,86,5,5,113,43,63,10035,5,79,2
20000209,268,58,63,65,13,14,327,0,-1,10183,6,73,4
20000210,215,49,58,58,15,16,180,61,95,10163,5,82,2
20000211,228,37,39,46,77,80,744,0,0,10267,1,83,9
20000212,214,55,58,45,31,32,256,34,41,10183,4,86,3
20000213,268,40,43,52,61,62,588,0,-1,10175,4,82,7
20000214,217,33,37,45,45,46,626,32,25,10195,5,88,8
20000215,247,29,35,66,26,26,473,29,18,10118,7,86,6
20000216,259,46,54,37,63,63,633,66,145,9994,6,79,8
20000217,287,35,44,36,55,55,647,17,10,10073,6,78,8
20000218,223,37,48,49,1,1,230,78,72,10008,8,89,3
20000219,321,43,46,48,7,7,296,13,9,10087,6,86,4
20000220,331,22,23,22,85,83,917,0,-1,10275,3,84,11
20000221,196,24,28,22,40,39,557,14,6,10274,7,91,6
20000222,224,19,21,28,17,16,379,0,0,10248,7,96,4
20000223,179,24,28,51,58,56,734,0,-1,10232,4,88,9
20000224,243,35,46,78,16,15,494,94,119,10202,8,82,7
20000225,278,26,34,54,81,77,958,51,112,10250,3,83,12
20000226,200,24,27,34,81,76,1030,0,0,10305,2,82,12
20000227,179,55,55,76,76,71,861,0,0,10203,7,72,12
20000228,221,64,67,92,5,5,158,25,12,10108,6,80,2
20000229,200,63,69,65,22,20,492,65,111,10036,6,87,7
20000301,292,40,43,53,41,38,638,23,32,10046,6,83,8
20000302,227,64,68,49,24,22,448,100,162,10149,6,86,6
20000303,260,61,69,69,29,26,560,71,140,10034,7,82,8
20000304,303,42,43,19,59,53,795,32,39,10210,4,81,9
20000305,251,32,35,32,54,49,757,5,7,10305,6,85,9
20000306,227,65,65,63,7,6,409,0,-1,10257,6,85,5
20000307,239,63,63,96,19,17,673,37,31,10205,8,89,10
20000308,249,73,73,111,0,0,231,50,118,10175,8,90,3
20000309,281,59,65,107,4,4,423,29,33,10206,8,84,6
20000310,227,27,30,65,24,21,568,26,10,10244,6,87,8
20000311,296,49,53,87,27,23,761,39,12,10182,7,84,11
20000312,234,20,20,77,59,51,1016,0,0,10257,5,82,14
20000313,238,26,28,77,5,4,384,0,-1,10240,7,93,5
20000314,287,42,50,78,11,9,282,56,44,10195,7,86,4
20000315,301,46,48,60,44,37,904,9,2,10287,5,75,12
20000316,300,32,33,80,0,0,328,5,2,10299,7,89,5
20000317,325,31,34,82,4,3,416,0,-1,10298,8,84,6
20000318,343,44,48,70,24,20,692,44,37,10297,8,86,9
20000319,30,31,30,58,65,54,1179,10,1,10339,7,85,15
20000320,209,9,15,51,23,19,833,0,0,10294,6,91,11
20000321,88,7,10,60,0,0,491,0,0,10232,6,87,6
20000322,103,6,15,72,94,77,1452,0,0,10171,3,81,20
20000323,57,25,26,72,88,71,1409,0,0,10139,6,85,19
20000324,181,16,27,88,0,0,259,38,44,10082,7,91,4
20000325,208,23,25,86,31,25,757,14,40,10114,7,88,11
20000326,190,20,28,63,49,39,939,36,33,10085,6,87,12
20000327,26,36,35,56,16,13,524,8,6,10113,6,86,7
20000328,29,46,47,41,0,0,180,0,-1,10175,7,85,2
20000329,46,59,59,59,0,0,511,0,-1,10154,8,86,7
20000330,31,40,36,65,0,0,292,0,-1,10110,8,87,4
20000331,199,6,13,61,0,0,396,0,-1,10066,8,84,5
20000401,135,6,13,62,6,5,542,23,6,10038,7,86,7
20000402,141,34,39,100,36,28,1225,21,11,10010,7,78,18
20000403,134,37,40,119,60,46,1270,0,-1,9906,7,70,20
20000404,325,3,48,101,20,15,931,3,1,9921,7,81,14
20000405,18,61,61,48,21,16,943,0,-1,10131,6,62,12
20000406,26,32,33,48,84,63,1576,0,0,10301,3,74,20
20000407,344,16,20,55,107,80,1952,0,0,10331,2,78,25
20000408,79,9,18,66,40,30,1225,0,0,10237,6,68,16
20000409,64,53,54,93,108,80,1843,0,0,10147,2,61,26
20000410,39,41,42,59,126,93,2154,0,0,10124,1,60,28
20000411,190,15,23,61,83,61,1700,0,-1,9957,5,68,22
20000412,180,46,53,62,35,26,863,54,67,9889,7,80,11
20000413,207,46,53,59,23,17,711,25,23,9920,7,84,9
20000414,246,17,31,69,62,45,1333,0,-1,9992,7,82,18
20000415,164,32,49,89,15,11,693,38,39,9946,8,80,10
20000416,205,28,47,93,74,53,1599,2,1,9985,6,65,23
20000417,191,48,52,107,57,41,1351,31,42,9990,6,77,20
20000418,173,39,45,106,87,62,1718,0,0,10073,4,73,26
20000419,181,23,30,119,77,55,1642,0,-1,10098,4,75,25
20000420,165,37,40,134,50,35,1105,0,-1,10124,7,76,18
20000421,212,32,35,137,52,36,1431,7,5,10141,7,73,23
20000422,142,19,27,133,4,3,574,60,39,10108,8,81,9
20000423,306,20,20,111,0,0,340,76,89,10096,8,95,5
20000424,181,5,19,113,49,34,1506,0,0,10131,5,82,23
20000425,149,40,42,149,52,36,1582,0,0,10110,5,66,26
20000426,165,20,37,149,82,56,1772,5,4,10083,4,74,29
20000427,39,21,28,152,21,14,1219,8,4,10100,7,81,20
20000428,310,27,25,158,104,71,2043,0,0,10061,4,83,34
20000429,267,25,23,119,0,0,532,20,59,10157,8,91,8
20000430,14,20,19,125,0,0,533,7,2,10218,8,89,8
20000501,13,32,34,128,17,11,1222,0,-1,10227,8,88,19
20000502,16,44,44,104,0,0,400,0,-1,10230,8,92,6
20000503,358,33,33,120,0,0,644,0,-1,10206,8,90,10
20000504,16,36,38,134,69,46,1880,0,0,10199,6,85,30
20000505,62,36,38,181,140,93,2428,0,0,10157,1,56,43
20000506,83,35,38,201,102,67,2115,0,0,10139,2,54,39
20000507,89,26,33,192,107,70,2280,3,6,10147,3,63,41
20000508,64,7,20,193,97,63,1982,0,-1,10173,5,73,36
20000509,55,9,17,196,91,59,1942,0,-1,10176,4,74,35
20000510,26,19,24,198,60,39,1736,0,-1,10168,4,73,32
20000511,32,43,44,184,123,80,2416,0,0,10187,5,62,43
20000512,68,37,38,189,128,83,2484,0,0,10201,4,57,44
20000513,101,25,30,181,118,76,2495,0,0,10222,3,50,44
20000514,352,12,18,192,146,94,2706,0,0,10230,1,56,49
20000515,162,16,21,208,133,85,2563,0,0,10187,5,61,47
20000516,170,20,29,202,95,60,2137,33,210,10126,5,75,39
20000517,234,54,55,137,55,35,1566,14,12,10107,7,74,25
20000518,228,42,48,114,56,35,1597,23,35,10063,6,76,24
20000519,227,31,34,103,13,8,792,33,40,10063,7,86,12
20000520,296,26,27,108,89,56,1875,2,4,10116,4,76,28
20000521,100,13,23,100,0,0,630,70,58,10073,8,92,9
20000522,279,13,20,114,34,21,1014,5,3,10148,5,85,15
20000523,203,35,38,138,10,6,1098,44,43,10163,7,85,18
20000524,249,9,26,140,31,19,1592,106,70,10127,8,83,26
20000525,238,49,57,132,53,33,1208,43,49,10096,6,81,19
20000526,154,28,36,136,22,14,1631,29,40,10116,7,75,26
20000527,217,68,72,124,66,41,1795,6,6,10082,6,71,28
20000528,212,54,72,94,4,2,540,128,185,10010,7,88,8
20000529,254,34,38,101,74,45,1852,28,79,10116,5,84,27
20000530,58,7,21,98,54,33,1597,7,8,10143,6,86,23
20000531,296,6,18,125,115,70,2542,0,0,10192,4,69,40
20000601,207,37,41,151,22,13,1105,23,8,10187,6,82,18
20000602,237,24,29,164,107,65,2517,0,0,10187,4,80,43
20000603,106,23,24,181,66,40,1974,55,114,10177,6,83,35
20000604,246,28,35,167,75,45,2002,3,2,10167,5,81,34
20000605,330,14,20,123,23,14,669,69,57,10172,7,93,10
20000606,275,26,28,128,19,11,1153,11,183,10184,7,86,18
20000607,292,31,33,123,72,43,1776,2,2,10224,5,80,28
20000608,121,36,38,155,153,92,2961,0,0,10190,2,66,49
20000609,157,23,38,212,136,82,2697,0,0,10112,2,67,50
20000610,303,27,28,166,76,46,2184,0,0,10158,6,79,37
20000611,262,25,27,148,79,47,1864,0,0,10184,5,78,31
20000612,228,41,42,162,61,37,1676,0,0,10246,5,83,28
20000613,251,30,34,169,17,10,1222,0,0,10247,7,85,21
20000614,245,40,41,172,21,13,1266,41,41,10228,8,87,22
20000615,308,33,33,151,70,42,2039,1,1,10245,5,77,34
20000616,11,26,28,132,133,79,2677,0,0,10291,3,70,42
20000617,145,22,23,149,151,90,2954,0,0,10297,1,64,49
20000618,174,15,22,211,152,91,2854,0,0,10247,2,58,53
20000619,187,31,35,257,153,91,2864,0,0,10176,0,59,57
20000620,188,20,25,259,148,88,2764,0,0,10126,2,69,55
20000621,218,38,42,205,50,30,1629,23,10,10124,6,73,30
20000622,218,43,44,163,37,22,1196,21,34,10138,6,76,20
20000623,233,46,49,151,21,13,1060,53,59,10149,7,84,18
20000624,274,32,34,135,43,26,1365,50,83,10147,6,84,22
20000625,302,32,34,127,7,4,1127,13,8,10188,7,80,18
20000626,312,33,34,124,49,29,1604,0,-1,10240,5,69,25
20000627,331,28,27,123,92,55,2193,0,0,10235,4,73,34
20000628,323,28,26,124,78,47,1860,0,0,10204,5,72,29
20000629,290,30,30,132,90,54,2517,0,-1,10199,5,65,40
20000630,329,18,20,137,114,68,2590,0,0,10157,3,72,42
20000701,79,21,22,136,1,1,676,30,27,10111,8,87,11
20000702,93,10,19,190,39,23,1881,0,-1,10105,7,81,34
20000703,324,20,20,194,69,41,2034,14,36,10091,5,77,37
20000704,2,14,21,176,33,20,1707,14,67,10063,7,84,30
20000705,267,21,24,158,2,1,625,76,75,10120,8,93,10
20000706,18,22,23,165,42,25,1558,0,0,10194,7,78,27
20000707,29,47,50,140,28,17,1487,0,-1,10163,7,73,24
20000708,238,23,27,127,4,2,814,16,12,10146,7,86,13
20000709,190,44,45,138,0,0,377,75,71,9996,8,94,6
20000710,221,50,53,152,60,36,1434,39,76,9899,7,82,24
20000711,300,35,42,133,10,6,919,25,26,9992,7,87,15
20000712,286,30,35,139,133,81,2571,0,0,10130,4,68,41
20000713,231,27,31,145,5,3,594,81,91,10095,8,92,10
20000714,292,27,31,132,26,16,1311,44,77,10065,7,87,21
20000715,306,26,30,128,30,18,1237,48,86,10101,7,87,19
20000716,315,29,30,142,21,13,1395,0,-1,10145,7,84,23
20000717,281,26,26,136,16,10,798,8,3,10187,8,86,13
20000718,295,30,30,140,23,14,1481,0,-1,10194,7,78,24
20000719,304,29,31,161,48,30,1780,2,1,10198,6,78,30
20000720,323,22,24,163,114,71,2368,0,0,10217,4,76,40
20000721,337,33,33,146,28,17,1182,0,-1,10241,5,80,19
20000722,348,27,28,151,30,19,985,0,-1,10207,6,88,16
20000723,30,34,35,165,84,53,2096,0,0,10156,5,85,36
20000724,36,46,49,184,49,31,1784,0,-1,10057,7,82,32
20000725,307,29,36,170,20,13,1230,6,3,10053,8,88,21
20000726,303,15,14,155,0,0,452,0,-1,10108,8,87,8
20000727,198,5,16,165,43,27,1484,70,58,10139,6,85,25
20000728,262,23,24,170,63,40,1609,0,-1,10134,6,86,28
20000729,238,17,20,159,20,13,742,27,277,10158,5,93,12
20000730,300,17,18,168,74,47,1718,0,0,10215,5,87,29
20000731,167,18,20,183,111,71,2354,0,0,10231,4,81,42
20000801,204,23,25,210,69,44,1983,30,39,10172,5,77,37
20000802,235,38,41,182,115,74,2195,0,0,10149,4,78,39
20000803,206,31,34,173,67,43,1798,12,72,10156,6,81,31
20000804,323,16,18,165,51,33,1584,0,0,10207,4,84,27
20000805,323,19,18,166,73,48,1943,0,0,10241,3,82,33
20000806,284,19,24,175,52,34,1474,0,-1,10224,5,85,26
20000807,321,22,20,186,63,41,1476,0,-1,10222,7,81,26
20000808,299,24,25,173,68,45,1539,14,12,10206,5,85,27
20000809,165,20,20,184,84,56,2060,0,0,10199,5,80,36
20000810,247,30,32,187,6,4,777,11,6,10152,7,86,14
20000811,299,21,20,189,59,39,1781,0,0,10155,5,75,32
20000812,1,9,15,176,119,80,2250,0,0,10154,1,77,39
20000813,145,28,28,217,83,56,1861,0,-1,10167,3,73,35
20000814,224,23,28,217,46,31,1419,8,23,10178,7,82,27
20000815,242,34,34,182,20,14,965,0,-1,10185,6,83,17
20000816,220,29,33,183,76,52,1833,0,-1,10148,7,77,32
20000817,236,40,41,179,99,68,1814,3,2,10123,4,77,32
20000818,183,20,24,176,67,46,1682,15,4,10138,6,75,29
20000819,215,19,23,186,30,21,1215,17,28,10116,7,84,22
20000820,16,19,23,175,63,44,1529,29,116,10126,6,82,27
20000821,143,1,20,156,68,47,1618,19,22,10153,5,83,27
20000822,328,2,15,153,66,46,1503,0,0,10204,4,84,25
20000823,51,32,32,155,125,88,2096,0,0,10246,1,75,35
20000824,333,17,17,156,128,90,2194,0,0,10241,3,70,37
20000825,82,16,21,163,36,26,931,0,0,10222,4,85,16
20000826,121,32,43,195,103,73,1888,0,0,10119,5,72,34
20000827,221,16,18,167,0,0,462,54,65,10145,7,94,8
20000828,214,20,23,144,42,30,972,8,45,10184,4,91,16
20000829,244,13,22,146,55,40,1290,0,-1,10196,4,86,21
20000830,357,14,15,139,96,70,1765,0,0,10182,3,83,28
20000831,96,15,17,144,87,63,1631,0,0,10121,4,83,27
20000901,192,27,33,157,38,28,1011,25,44,10030,7,82,17
20000902,246,17,27,145,23,17,772,44,62,10035,7,91,13
20000903,325,33,30,149,37,27,1251,31,43,10139,7,77,21
20000904,314,23,23,138,4,3,767,6,3,10212,7,85,12
20000905,227,25,28,154,46,34,1186,5,2,10212,7,81,20
20000906,227,39,50,151,11,8,493,28,28,10093,7,85,8
20000907,265,28,39,159,26,20,992,0,-1,10141,7,74,17
20000908,221,42,43,174,0,0,215,22,7,10188,8,94,4
20000909,250,16,20,173,5,4,313,24,78,10233,7,96,5
20000910,303,4,12,170,19,15,862,0,0,10230,5,92,15
20000911,113,25,25,184,105,81,1679,0,0,10173,3,88,30
20000912,218,25,32,176,6,5,562,0,-1,10106,5,89,10
20000913,280,22,25,160,58,45,1250,0,0,10129,6,87,21
20000914,163,9,14,152,30,23,1070,0,0,10152,6,89,18
20000915,142,23,27,166,30,24,976,33,193,10101,7,89,17
20000916,195,14,28,155,38,30,898,5,4,10039,5,88,15
20000917,245,12,16,130,10,8,328,34,43,10100,5,97,5
20000918,160,35,37,159,52,42,1134,0,0,10066,7,84,19
20000919,119,50,52,174,107,86,1453,0,-1,10023,5,77,25
20000920,127,24,27,148,0,0,259,52,17,10069,8,92,4
20000921,95,19,20,137,47,38,1051,2,1,10163,5,90,17
20000922,149,30,31,154,60,49,1152,0,0,10219,5,87,19
20000923,116,36,38,165,104,85,1441,0,0,10225,5,82,25
20000924,118,33,40,147,96,79,1400,16,6,10177,5,79,23
20000925,233,19,24,152,65,54,1128,5,3,10209,5,86,19
20000926,163,24,28,169,36,30,866,34,65,10172,7,84,15
20000927,202,34,37,161,64,54,1023,9,31,10136,6,82,17
20000928,172,42,43,158,0,0,313,74,33,10045,8,89,5
20000929,138,19,23,169,7,6,556,3,1,10031,7,89,10
20000930,250,21,21,159,30,26,803,52,23,10054,7,90,14
20001001,218,11,16,138,0,0,213,56,61,10058,7,98,3
20001002,190,26,29,124,58,50,769,6,3,10065,4,92,12
20001003,203,26,30,127,40,35,687,0,-1,10198,5,85,11
20001004,187,25,29,122,0,0,213,23,13,10195,7,92,3
20001005,207,24,28,121,21,18,615,33,48,10164,7,91,9
20001006,258,20,25,92,51,45,802,66,81,10215,6,89,11
20001007,165,21,22,84,98,87,1142,0,0,10228,2,86,16
20001008,172,29,38,101,0,0,162,45,46,10139,7,94,2
20001009,166,35,37,96,61,55,948,22,10,10059,5,86,14
20001010,181,61,69,94,24,22,545,69,80,9858,6,86,8
20001011,174,63,71,104,45,41,583,54,87,9792,5,82,9
20001012,169,51,51,117,70,64,916,11,17,9954,4,80,14
20001013,194,31,32,116,84,77,932,0,0,10096,4,87,14
20001014,166,11,20,98,2,2,329,0,-1,10172,8,97,5
20001015,27,25,27,103,1,1,304,30,4,10110,8,98,4
20001016,183,52,49,123,4,4,180,82,46,10049,8,93,3
20001017,227,26,32,102,77,73,863,6,3,10213,3,89,13
20001018,155,42,42,99,0,0,314,17,10,10205,7,90,5
20001019,209,10,26,107,57,54,639,49,63,10182,6,93,10
20001020,124,40,41,113,45,43,709,0,0,10185,6,91,11
20001021,173,30,35,149,15,14,525,0,-1,10198,8,87,9
20001022,163,23,23,149,45,44,663,0,0,10248,6,88,11
20001023,196,38,45,146,46,45,585,16,170,10181,5,88,10
20001024,227,52,53,122,7,7,268,4,2,10162,7,88,4
20001025,223,57,62,122,3,3,153,23,15,10072,7,84,2
20001026,250,38,39,102,61,61,719,33,34,10112,6,84,11
20001027,212,49,50,108,0,0,90,94,79,10135,8,98,1
20001028,194,54,56,132,0,0,105,75,29,10091,8,95,2
20001029,206,80,82,101,52,53,528,29,29,10043,5,80,8
20001030,202,100,103,105,0,0,62,74,116,9878,6,85,1
20001031,206,68,70,92,13,13,211,15,9,9920,4,85,3
20001101,198,55,56,76,11,11,179,40,81,9970,4,89,2
20001102,172,53,58,78,21,22,271,39,73,9949,4,88,4
20001103,186,45,45,77,69,72,615,0,-1,9963,3,82,8
20001104,205,40,41,68,56,59,559,23,14,10066,4,91,7
20001105,155,42,49,71,63,67,593,0,0,10056,5,85,8
20001106,123,72,72,94,20,21,279,46,43,9815,7,81,4
20001107,155,43,47,85,0,0,125,20,11,9791,8,90,2
20001108,196,56,56,82,0,0,105,37,36,9877,8,91,1
20001109,216,53,54,78,0,0,110,104,223,10020,8,94,2
20001110,219,50,51,71,0,0,188,47,62,10138,7,91,3
20001111,186,62,63,86,7,8,253,14,8,10133,8,81,4
20001112,185,56,57,87,0,0,56,115,91,10000,8,89,1
20001113,193,33,33,79,19,21,261,0,0,9991,7,93,4
20001114,180,24,26,56,24,27,315,0,0,10053,5,94,4
20001115,191,37,39,57,5,6,98,26,25,10096,6,94,1
20001116,181,50,51,72,0,0,167,64,39,10066,7,92,2
20001117,207,32,33,50,48,55,386,30,44,10099,4,93,5
20001118,200,52,54,64,36,41,353,25,29,10077,7,91,5
20001119,195,56,57,91,6,7,152,52,65,9957,7,92,2
20001120,185,39,43,63,2,2,136,43,61,9983,6,91,2
20001121,153,56,57,62,5,6,144,27,28,10006,6,86,2
20001122,187,58,59,86,31,37,287,1,2,10012,4,83,4
20001123,144,36,43,84,0,0,90,58,44,10005,7,93,1
20001124,208,43,45,70,29,35,247,6,3,10058,5,90,3
20001125,161,57,58,72,16,19,221,41,80,10021,7,89,3
20001126,203,54,58,76,13,16,194,23,25,9982,5,88,3
20001127,186,38,43,66,48,58,359,5,10,10127,5,91,5
20001128,198,47,54,119,0,0,108,44,79,10102,7,92,2
20001129,165,38,39,111,21,26,278,0,0,10075,6,87,4
20001130,187,28,35,106,59,72,384,0,0,10142,5,89,6
20001201,170,50,52,116,4,5,164,27,12,10094,7,88,3
20001202,175,31,34,105,3,4,187,11,15,10128,6,93,3
20001203,207,29,38,84,35,43,275,53,78,10150,4,93,4
20001204,168,53,54,70,15,19,173,11,6,10123,5,89,2
20001205,156,47,48,96,39,49,280,5,2,10109,5,84,4
20001206,166,41,44,109,2,3,148,17,26,10092,7,91,2
20001207,138,44,47,98,2,3,194,22,14,10042,7,93,3
20001208,183,63,67,122,17,22,174,16,12,9995,5,78,3
20001209,198,57,58,94,17,22,222,0,-1,10084,5,84,3
20001210,211,57,67,96,0,0,68,49,70,10076,7,86,1
20001211,219,71,73,120,5,6,161,67,105,10151,7,86,2
20001212,204,65,68,131,0,0,38,60,63,10117,8,92,1
20001213,225,100,102,108,5,6,101,27,27,10055,6,78,2
20001214,231,53,55,74,10,13,182,31,39,10027,6,87,2
20001215,270,43,48,56,4,5,142,93,128,10025,7,89,2
20001216,267,40,41,41,0,0,107,65,86,10095,7,89,1
20001217,214,24,26,25,56,72,335,7,3,10139,5,94,4
20001218,135,21,23,32,0,0,81,0,0,10175,8,93,1
20001219,96,40,40,27,58,75,336,0,0,10216,4,92,4
20001220,113,62,62,16,54,70,299,0,0,10210,3,80,3
20001221,117,48,49,-1,65,84,399,0,0,10219,1,72,4
20001222,133,27,28,-23,66,85,393,0,0,10184,1,78,4
20001223,123,10,14,-20,66,85,356,5,1,10115,3,91,3
20001224,52,29,28,6,7,9,81,109,48,10028,8,97,1
20001225,49,60,60,-6,35,45,285,10,2,10006,5,84,3
20001226,51,44,45,-22,23,30,193,0,0,9947,7,82,2
20001227,27,27,30,-10,0,0,82,140,21,9912,8,93,1
20001228,221,39,42,5,15,19,174,35,16,9934,7,91,2
20001229,219,52,53,6,31,40,283,40,47,9952,5,88,3
20001230,268,25,28,17,7,9,167,42,94,10011,6,92,2
20001231,168,30,37,-1,46,59,303,0,-1,10132,5,92,3
20010101,159,57,58,34,0,0,47,78,95,9966,8,91,1
20010102,178,59,60,87,27,34,229,9,3,9918,6,83,3
20010103,202,45,53,67,52,66,316,39,40,10009,6,86,4
20010104,183,56,62,78,0,0,41,51,49,9949,8,89,1
20010105,191,48,59,76,0,0,16,100,189,9874,8,92,0
20010106,225,37,40,59,19,24,165,29,21,9983,5,92,2
20010107,205,44,44,52,0,0,85,3,3,10080,6,91,1
20010108,214,37,38,39,15,19,122,14,17,10116,5,94,1
20010109,219,24,25,40,27,34,245,0,0,10142,5,94,3
20010110,61,38,38,24,16,20,198,0,0,10134,8,92,2
20010111,52,48,49,12,66,82,447,0,0,10235,3,76,5
20010112,52,24,24,7,16,20,200,0,-1,10291,4,86,2
20010113,57,34,35,-11,70,86,500,0,0,10356,1,84,5
20010114,58,35,36,-19,0,0,89,0,0,10351,4,90,1
20010115,82,41,41,-21,72,87,507,0,0,10281,0,81,5
20010116,86,24,25,-31,72,87,515,0,0,10246,1,79,5
20010117,74,12,13,-48,67,81,567,0,0,10201,2,84,5
20010118,46,7,10,-37,0,0,60,26,4,10194,6,95,1
20010119,152,10,13,-5,2,2,160,0,-1,10219,8,99,2
20010120,161,23,24,1,0,0,102,47,13,10238,8,98,1
20010121,131,41,43,-1,40,47,383,70,51,10208,7,91,4
20010122,131,34,37,28,0,0,119,26,21,10055,8,98,1
20010123,170,49,53,70,11,13,246,44,37,9972,7,92,3
20010124,209,58,63,84,23,27,310,14,14,9947,5,85,4
20010125,178,41,42,55,0,0,153,18,11,10014,5,92,2
20010126,177,43,44,45,5,6,124,9,11,9993,6,90,2
20010127,241,24,42,42,5,6,149,98,102,9941,8,91,2
20010128,261,27,26,40,38,43,381,24,23,10031,6,94,5
20010129,11,7,12,23,55,62,493,0,-1,10169,6,90,6
20010130,156,13,16,7,10,11,271,0,0,10226,5,98,3
20010131,64,15,20,11,9,10,258,0,0,10251,7,98,3
20010201,253,16,20,6,14,15,280,7,3,10280,8,99,3
20010202,149,24,30,5,0,0,93,113,50,10176,8,99,1
20010203,115,24,28,6,0,0,153,155,85,10044,8,98,2
20010204,131,13,32,27,0,0,95,174,253,9996,8,98,1
20010205,226,60,65,88,1,1,150,62,48,9930,7,90,2
20010206,204,62,64,106,3,3,168,37,50,9979,8,86,2
20010207,185,44,48,101,42,45,425,37,44,10006,7,84,6
20010208,194,26,56,86,21,22,296,106,162,9956,8,85,4
20010209,7,19,23,27,69,72,643,2,1,10177,6,84,8
20010210,163,34,37,25,77,80,740,9,5,10304,5,86,9
20010211,201,61,61,99,1,1,148,5,3,10287,8,87,2
20010212,220,21,52,100,0,0,213,40,38,10232,8,88,3
20010213,16,40,38,58,62,63,746,0,0,10344,5,87,10
20010214,61,18,20,33,30,30,456,0,0,10349,5,97,5
20010215,107,10,14,43,90,91,904,0,0,10315,0,84,11
20010216,347,22,24,24,0,0,169,21,21,10301,6,98,2
20010217,22,33,35,41,0,0,194,0,-1,10393,7,84,2
20010218,340,19,21,48,22,22,506,0,0,10404,7,83,6
20010219,277,32,35,51,12,12,346,15,10,10359,7,88,4
20010220,285,29,34,53,31,30,504,0,0,10324,7,88,6
20010221,282,30,33,64,14,14,360,43,22,10247,7,93,5
20010222,285,42,42,55,51,49,640,16,26,10141,6,87,8
20010223,301,23,26,26,75,72,925,22,13,10052,6,86,11
20010224,41,22,35,-10,92,88,1363,32,32,10112,4,77,14
20010225,233,37,38,10,54,51,766,40,30,10098,6,91,8
20010226,199,31,38,19,80,75,994,4,2,10049,5,85,11
20010227,133,48,49,22,42,39,748,0,-1,9960,7,71,9
20010228,109,14,21,38,30,28,515,13,6,9940,7,81,6
20010301,17,16,18,19,0,0,179,24,10,9946,8,94,2
20010302,54,28,29,13,49,45,758,0,-1,9991,6,86,8
20010303,46,34,35,-11,33,30,631,0,0,9984,5,73,6
20010304,48,32,33,13,0,0,403,0,0,9985,8,83,4
20010305,100,17,25,18,20,18,524,0,0,10189,5,74,6
20010306,122,45,46,33,103,92,1312,0,0,10194,2,73,16
20010307,153,31,38,75,23,20,579,29,39,10091,7,87,8
20010308,146,28,39,88,0,0,224,37,21,10011,8,94,3
20010309,210,45,48,93,2,2,233,2,3,10004,8,91,3
20010310,212,40,43,99,0,0,207,60,57,10010,8,95,3
20010311,206,42,47,111,0,0,306,49,78,10035,8,93,5
20010312,234,45,51,84,76,66,1156,10,30,10021,5,77,16
20010313,226,45,54,59,14,12,468,14,12,9981,6,86,6
20010314,260,38,41,54,39,33,790,0,0,10059,4,82,10
20010315,215,6,15,60,35,30,835,0,-1,10086,6,86,11
20010316,50,31,33,70,4,3,544,20,7,10100,8,85,7
20010317,57,43,44,34,0,0,128,34,59,10021,8,92,2
