date,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,day_of_week,month,is_weekend,is_holiday
2009-01-01,-2.3802232305451216,-2.110238006589888,2.3110560527868227,-0.3171415287115992,2.3149039929125688,0.43273805766884504,0.5864775344804278,0.9382988389111845,0.513400729685221,3,1,0,1
2009-01-02,-1.8744146028585111,-2.329705175471578,2.4031898787509736,0.24509313591256854,1.9988463907359246,0.6657669871751044,-0.13965394408029766,0.8050050434435332,0.4661142220580538,4,1,0,0
2009-01-03,-2.1242997704197055,-2.243470173898227,2.4122248539379285,0.22013719170514562,2.1919686037572617,0.4083454663120425,0.01745087908630455,0.7228290120693588,0.6592853742191211,5,1,1,0
2009-01-04,-2.618723169180311,-1.964878314103548,0.531939857542669,0.9255835934624099,1.7508385734182097,0.31947415537466256,0.49317562273789906,0.9461816248730058,0.35137237459477316,6,1,1,0
2009-01-05,-1.5849368002486532,-2.2748945540410963,0.9745554180008295,2.1514061373115907,1.3717474165670716,-0.02256069505214327,-0.466161362845394,1.106834849641881,0.3378407981871931,0,1,0,0
2009-01-06,0.14504700251415947,-2.899612344790238,2.813082949903099,1.6592328035041013,1.6770141045720819,0.7545884819479083,-1.703630331647423,0.052951396093121855,0.8369755321863404,1,1,0,0
2009-01-07,-2.1150169267051973,-2.185734347996186,1.8923391670979572,0.1919750672725597,2.1739922497327204,0.3689921046149647,0.30100434925330993,0.4483743060049481,0.571232645556639,2,1,0,0
2009-01-08,-2.692562116542524,-2.142446496947254,2.699899208529448,-0.14259489987203322,2.327441221300617,0.5175087865120382,0.01805465863968482,0.9226969022887709,0.6832205675337624,3,1,0,0
2009-01-09,-0.510759231276747,-2.8923346016756177,3.6660796301059575,0.44817841479146814,1.9937268755890065,1.4740446503687854,-1.8500011905087248,-0.19256358576130136,0.8863854269191578,4,1,0,0
2009-01-10,-0.24889340643951624,-2.874567739166027,3.121718136081455,1.3182930543628484,1.7444427718446287,0.9866144384603253,-1.839852749305894,0.06566606740067435,0.8244587844501694,5,1,1,0
2009-01-11,0.041952197163271226,-2.6860051189848986,1.8271641738693287,2.2877375396314212,1.3025817641298048,0.10892714724938289,-0.9489016375484305,0.890770635280917,0.3425474653899389,6,1,1,0
2009-01-12,-2.0320353005071947,-2.0027904571165975,-0.1826662064100301,2.429853048822627,1.226935967821258,-0.6200470815916141,0.5125962316648724,1.4029058131050414,0.054687463548999754,0,1,0,0
2009-01-13,-3.1448139469821235,-1.894784966174113,0.07410548633261037,0.7333768574287622,1.699243416291146,0.47088664379438866,0.5565033609371564,0.312080552609327,0.20431939028228843,1,1,0,0
2009-01-14,-2.649586421087046,-2.0410452058850543,1.0347748595864417,-0.03115738849533697,2.082203147127414,0.3492661828976858,0.8022413490062899,-0.1394692245986395,0.26169942511658534,2,1,0,0
2009-01-15,-0.8603930413255676,-2.4376482203099603,1.2900453095948758,1.1788059254961964,1.615716301043936,0.3364831530135801,-0.12228690095273313,0.1702656002529329,0.21886691046853804,3,1,0,0
2009-01-16,-2.420925697619383,-2.004360967979586,0.9197230080135343,0.9913710568572985,1.8695377793514318,-0.29887916294192984,0.7148626946647738,0.7598061558127733,0.30577077917499634,4,1,0,0
2009-01-17,-2.553860903267719,-2.006505446153775,0.1952306165980199,1.4145085814693936,1.52305857854102,-0.23301235111054588,0.5735750930058631,0.3859631852451222,0.04213748535253711,5,1,1,0
2009-01-18,-2.6807743906011554,-2.032438554450641,-1.1914782929052568,2.3948117522627257,1.1085007929896864,0.19963041416804225,-0.1697330856255644,-0.4262203626561599,0.20048886253768608,6,1,1,0
2009-01-19,-3.272574870398493,-1.850169243853028,-1.8348943287568178,2.538997078644614,1.2653469783308418,-0.31961260867854113,0.18829299502533317,-1.0953556766846864,0.30669195447010605,0,1,0,0
2009-01-20,-2.1182919141587417,-2.1351557453436185,-0.7138476578470438,2.0200613957597917,1.5151319311222493,-0.26993456946416994,0.14546531253426806,-1.2812596010233956,0.36633372118434476,1,1,0,0
2009-01-21,-2.515366714993873,-2.0035705635147814,0.1578341098559717,0.9436904635453618,1.9311287776673394,-0.2136462926627804,0.7565190452906277,-0.5631479203936711,0.3945672262906677,2,1,0,0
2009-01-22,-3.5545548899752086,-1.7417009277846012,-1.7763938458730735,2.300938675072163,1.285200818685881,0.024424412022278155,0.23184493763627187,-0.3280544795405544,0.34212919910672396,3,1,0,0
2009-01-23,-4.676736272675576,-1.527800295324283,-4.233320001136426,2.2204992176421614,0.9596311744141787,2.433565321388269,-0.7981458330941777,-1.2075792276362447,0.8149644094138437,4,1,0,0
2009-01-24,-2.2763466126106913,-2.1565374430007287,-0.5057393898754742,1.297413073304123,1.866540524020005,-0.04731732900183262,0.2623443769170138,-2.2162082483834724,0.577646944781075,5,1,1,0
2009-01-25,-1.6545003371159088,-2.2818560997620656,-0.32341706887277855,2.193017346572894,1.4810261370723115,-0.23046917715814827,-0.25508144585233516,-1.3740908295561036,0.40903648709664636,6,1,1,0
2009-01-26,-0.7674987081056013,-2.5943532203678377,0.6630647419284126,1.8774889648881887,1.5307126150136827,0.3314897111728199,-0.8300205377788752,-1.4389485102147643,0.5464314163929491,0,1,0,0
2009-01-27,-0.7391725017533304,-2.6127480693769094,1.752823618172103,0.885226211153521,1.8327256040334394,0.8106944196252405,-0.7794339773442939,-0.8206188524547463,0.5863533672735639,1,1,0,0
2009-01-28,-0.547894380026556,-2.6817387937110606,1.9116051835590444,1.2614571329338085,1.6251707038717564,0.7886350077309111,-1.0810624451513793,-0.42965684803972315,0.4770579105858705,2,1,0,0
2009-01-29,-0.3195771824355119,-2.7165737167881576,2.089613498178209,1.203282205273145,1.6397505099118186,0.8253679230103583,-1.063711722815597,-0.21104846595691207,0.47347983943874045,3,1,0,0
2009-01-30,0.23554727390270164,-2.829689064889233,1.7707643580503083,2.228396897541136,1.1980097591713612,0.5000572953488175,-1.352897065248867,0.14679306461803568,0.2887187310626235,4,1,0,0
2009-01-31,0.07189274767382312,-2.695323019325084,1.0088614070861097,3.1517865074687266,0.9360091034515102,-0.13717091681615123,-1.2032553354876823,0.5123697937454157,0.17115533010514442,5,1,1,0
2009-02-01,-1.2039941016954245,-2.240973425078377,0.14247993963540131,3.4026205508673923,1.1273699558032495,-0.9881789008820854,-0.30301432234679565,0.7867395289593231,0.3332383247472707,6,2,1,0
2009-02-02,-2.428130407921631,-1.9349756935218532,-0.7361510632352882,2.986758956643401,1.35394157592317,-1.2279735540619465,0.4202221648303144,-0.021727182398099315,0.3750038185409967,0,2,0,0
2009-02-03,-2.8164178123952683,-1.9451119155110945,-0.029024407993693338,0.725883573477195,2.056545994169009,0.23913478581803638,0.5932667697039896,-1.0263094792268337,0.6971485068508243,1,2,0,0
2009-02-04,-3.0016923401841034,-1.988969663118097,0.5761282905018639,0.08851275219875308,2.424045628380439,0.25978694150980053,0.590633421304604,-1.7630988668422976,0.8899944247413272,2,2,0,0
2009-02-05,-2.933811836953801,-1.994914456170793,-0.4691211601800299,0.866430938422883,1.8971344687486644,0.5011456876443947,0.27310725217944026,-1.7131820275217409,0.6254099904911552,3,2,0,0
2009-02-06,-1.9968549396493356,-2.237951072133457,-0.07882669534801663,0.6432077987852164,2.0116601539031564,0.4670513993753391,0.23936939899833995,-2.5002727936143336,0.609820033583903,4,2,0,0
2009-02-07,-2.657359974516678,-2.0373160546150526,-0.4543812159978632,0.8725197936101258,1.9488421008652643,0.5083590505530466,0.26631135489271396,-1.8225944297881056,0.7070636761586022,5,2,1,0
2009-02-08,-1.9757572965781145,-2.2673025662566597,0.5204246619926943,0.9114031544180674,1.8667330079037439,0.6443848421260103,-0.21109068042085324,-1.3566128019224384,0.64816014524324,6,2,1,0
2009-02-09,-3.483440516903462,-1.7806035425661195,-1.0863252964784547,1.2615877763496481,1.5625243924237893,1.0766318606997916,0.0406847251132714,-0.2396101391511946,0.6040343437862434,0,2,0,0
2009-02-10,-3.661375739005945,-1.7461756075659307,-1.5619449324800248,1.5393651719021433,1.527243328790153,0.691676861146289,0.17732020181434507,-0.9111846799209138,0.5584337904472776,1,2,0,0
2009-02-11,-1.3257242561622988,-2.372829003750388,0.8613145307091237,1.2527356976832529,1.5571356678791166,0.6988401030171282,-0.35329503381205873,-0.2616490163633385,0.3842269571087004,2,2,0,0
2009-02-12,-0.583504167454355,-2.534290443108356,1.6239247173902198,0.8660426333026092,1.7030254058957974,0.7880700576651745,-0.36714605989072824,-0.1522189586557553,0.36760169890706557,3,2,0,0
2009-02-13,-2.181426249095711,-2.1588116084346813,1.446047714836705,0.27355329601971895,1.9453399082259037,0.7817753574541542,0.19324593222548722,0.30358911299558444,0.46095729702136173,4,2,0,0
2009-02-14,0.1991088002964344,-2.832201329860464,2.627037457217406,0.8968120666023573,1.6455612466607246,1.1494763520933522,-1.099982096350603,0.007284658888470407,0.45411605573787045,5,2,1,0
2009-02-15,-2.3749020241277483,-2.054814622681032,1.3533027110960942,0.44871332580620965,1.816855368637242,0.7075446348921282,0.3052308601718069,1.1137123987291626,0.32506496687487924,6,2,1,0
2009-02-16,-2.453711543133082,-1.9720361329140161,0.5013872045690024,0.12451262621694907,1.7055036759489168,1.1635338705538074,0.6703888690328604,0.908702146492227,0.11797408899202702,0,2,0,0
2009-02-17,-2.5097590428107024,-2.004715801186886,0.8586295518831711,0.5720704449950118,1.6861422956853356,0.68864642162283,0.44551106701934023,0.9300592693326962,0.19157303220214597,1,2,0,0
2009-02-18,-0.5430441193448214,-2.396755793568644,1.9063828924822057,0.9211348871428988,1.8838201722349626,0.26749678860287324,0.125640336215642,0.8268388094505138,0.4819037898933522,2,2,0,0
2009-02-19,-2.2789662083845474,-2.0301354162434695,1.6778907929581681,0.04514905004502949,2.083456029466245,0.4061284058860107,0.7499033148060037,0.9520513476671179,0.36689061815059926,3,2,0,0
2009-02-20,-2.313551596890495,-2.0111004300588617,1.5307836467248772,-0.054480281457608,1.9149329903945482,0.42086096324974787,0.9960166885293588,1.1598542045622424,0.03313855714012845,4,2,0,0
2009-02-21,-1.6232706900385148,-2.1098604398613787,1.6282749768642368,-0.0021600167964800467,1.9384445468727163,0.33519271555098,1.095528347658336,1.2026681425020416,0.046861109146498964,5,2,1,0
2009-02-22,-2.1044683650127998,-2.00390699664518,0.9130340039551643,0.3971233528315995,1.7998486675113912,0.1316136739631232,1.1404722445249862,0.8682291233396262,0.00911494758540374,6,2,1,0
2009-02-23,-2.022054897804456,-2.0087415532262454,0.6868925801528464,0.7322058096932933,1.7028978928144871,0.03429725465967961,1.0197255886733154,0.837435554125633,0.009595242450802595,0,2,0,0
2009-02-24,-1.4051274523545383,-2.1788564196694122,1.5936372280284372,0.35820487207018603,1.9208613794079146,0.23708319132639846,0.8268591038684129,0.9443373140040542,0.2173952927293973,1,2,0,0
2009-02-25,-2.251723557230016,-1.9929197189603183,1.2654052118475225,0.41061325701232654,1.7847362788845698,0.18605394517670582,0.9281181258354743,1.2405443692484768,0.01083908019860383,2,2,0,0
2009-02-26,-1.5292239845937323,-2.1620796460411382,0.4165406807897547,1.336800128546102,1.3566583334709907,0.17946395252344535,0.5580502365710666,0.8357116845276596,-0.11254798746047076,3,2,0,0
2009-02-27,-2.580462893950373,-1.929725837833672,0.4392609915989069,0.23448418041503677,1.7394020302576592,0.6693045613624561,0.9429037412446772,0.5637878059123217,0.04218254841410804,4,2,0,0
2009-02-28,-2.025327368006957,-2.0374035997890667,0.6930462546305229,0.07887775798046785,1.9703934886138412,0.32934393362388664,1.1811119264364385,-0.01659144336133664,0.15549532103267152,5,2,1,0
2009-03-01,-1.506617926583943,-2.169075675975766,0.5264072721583453,0.9294817191450501,1.5103240637419504,0.5897647383609955,0.7390381747293894,-0.7264453423613249,0.2579173306151787,6,3,1,0
2009-03-02,-1.3498937273473337,-2.238146841191328,1.0355701807630797,0.9791439965676133,1.5013970531479386,0.5671088899663351,0.5534686022024248,-0.3777186106010605,0.28549842658563135,0,3,0,0
2009-03-03,-2.3971788094979494,-1.8552040475852574,0.06715825667890056,1.499726458066343,1.4808610231834418,-0.2911400778372373,1.2666796991407343,-0.0016767952011640538,0.2418394217194562,1,3,0,0
2009-03-04,-2.492057817619771,-1.8486581607307404,-1.3381260496352096,2.6220677854968475,1.2793623906295548,-0.7619904661711207,1.0012016609249832,-1.450082565967682,0.4357533921527594,2,3,0,0
2009-03-05,-2.4162064530763248,-1.9733874456561005,-0.38782831011821356,1.1768484798303351,1.765181785334863,0.14665718323393737,0.8962608159704496,-1.9920494885100584,0.6675805996573794,3,3,0,0
2009-03-06,-1.7620586909165683,-2.069581103285542,-0.19129151544742587,1.967267086824037,1.3175952151430497,-0.06868786737359169,0.6590774132009113,-0.7529327693425064,0.3409905558826091,4,3,0,0
2009-03-07,-0.8862790998966672,-2.388270765910859,0.9375449798153174,1.1916383985553525,1.4245373953880525,0.7938402574838408,0.10598662087798537,-0.9193245960129158,0.35185409157455977,5,3,1,0
2009-03-08,-1.2022380540351445,-2.0924740144478053,-1.3654209585312291,2.689836612870961,0.7196808208034942,0.6850239547113284,0.24883165348434008,-0.05039004331647881,0.1043616283791223,6,3,1,0
2009-03-09,-1.9435619398410882,-1.9280200273465387,-0.21777159619787048,2.2078360328904325,1.2445910569594265,-0.49306326878170825,1.0388489461367114,0.10062675082595324,0.22138964598843483,0,3,0,0
2009-03-10,-2.667918100030395,-1.8785577738151111,-0.010392516711969236,1.0560626339778445,1.4290759557850117,0.8492020405632115,0.6821395854844937,-0.09970712902621662,0.37149785211715786,1,3,0,0
2009-03-11,-0.22668281313511077,-2.3297856296667128,1.0365666476135542,1.1775645854999315,1.3623992063879327,0.4681676116998873,0.8243802038044244,0.3954104849941308,0.07874162151907196,2,3,0,0
2009-03-12,-2.3906189595420626,-1.9019016273057836,0.48449808926564564,0.9456422348832064,1.3099190004471404,0.5969780053872027,1.0280213872735449,0.7474704419585632,-0.0005604757578836749,3,3,0,0
2009-03-13,-0.024296234719518358,-2.4271348256347935,1.1944913488161555,0.8586293948552871,1.4212046814965524,0.7709643993793683,0.7276251306212229,-0.021524044135404957,0.10641289869424667,4,3,0,0
