date,temp_c,precip_mm,sunshine_h,global_rad,pressure_hpa,nao,gdp_mln_eur,population,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday,sin1_ann,cos1_ann,sin2_ann,cos2_ann
2009-01-01,-1.821687016603977,-0.4789106033453993,-1.1452666584482973,-1.2309572423371757,1.4946537280554248,-0.02970317344196907,-1.2087005893245366,-1.6443995443105295,-0.8044082071601062,-0.6015393770080089,3,1,0,1,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598
2009-01-02,-1.853578151239002,-0.37416450700337783,-0.9545411001335847,-1.1488430438809798,1.4946537280554248,-0.02970317344196907,-1.2076821565406448,-1.6436681784166158,-0.8044082071601062,-0.6015393770080089,4,1,0,0,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451
2009-01-03,-2.1565439302717366,-0.4789106033453993,-1.1929480480269756,-1.2195875840893948,1.3066613620429146,-0.02970317344196907,-1.2066637237567532,-1.642936812522702,-0.8044082071601062,-0.6015393770080089,5,1,1,0,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646
2009-01-04,-1.359265564396119,0.3590581673907724,-1.1929480480269756,-1.2347471284197693,0.33536747097825903,-0.02970317344196907,-1.2056452909728614,-1.6422054466288014,-0.8044082071601062,-0.6015393770080089,6,1,1,0,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833
2009-01-05,-1.917360420509051,-0.038976998708909145,-0.28700164603209055,-0.9403993093383285,0.6904641623352292,-0.02970317344196907,-1.2046268581889696,-1.6414740807348878,-0.8044082071601062,-0.6015393770080089,0,1,0,0,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282
2009-01-06,-2.666802084432132,-0.4789106033453993,0.42821919764808186,-0.7231125072696253,1.1708890977005475,-0.02970317344196907,-1.2036084254050778,-1.640742714840974,-0.8044082071601062,-0.6015393770080089,1,1,0,0,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216
2009-01-07,-1.853578151239002,-0.4370121648085907,-0.9307004053442457,-1.0755719129508357,0.8366804470116274,-0.02970317344196907,-1.2025899926211878,-1.6400113489470602,-0.8044082071601062,-0.6015393770080089,2,1,0,0,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653
2009-01-08,-2.443564141986959,-0.4789106033453993,-1.1929480480269756,-1.165265883572219,1.5990939313957109,-0.02970317344196907,-1.2015715598372962,-1.6392799830531464,-0.8044082071601062,-0.6015393770080089,3,1,0,0,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545
2009-01-09,-2.8262577576072556,-0.4789106033453993,0.35669711328006465,-0.7786975031476656,1.5990939313957109,-0.02970317344196907,-1.2005531270534044,-1.638548617159246,-0.8044082071601062,-0.6015393770080089,4,1,0,0,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676
2009-01-10,-2.8103121902897428,-0.4789106033453993,0.42821919764808186,-0.7066896675783861,1.3797695043811196,-0.02970317344196907,-1.1995346942695126,-1.6378172512653322,-0.8044082071601062,-0.6015393770080089,5,1,1,0,0.17117705961019986,0.985240282501282,0.3373010691361842,0.9413968285264122
2009-01-11,-1.9014148531915387,-0.4789106033453993,0.45205989243742106,-0.7534315959303746,1.2439972400387524,-0.02970317344196907,-1.1985162614856208,-1.6370858853714185,-0.8044082071601062,-0.6015393770080089,6,1,1,0,0.18809941761179758,0.9821499931752291,0.3694836834473831,0.9292372181882051
2009-01-12,-1.104136487315921,0.0238706590963037,-1.1452666584482973,-1.0705187315073774,0.16826314563379896,-0.02970317344196907,-1.197497828701729,-1.6363545194775047,-0.8044082071601062,-0.6015393770080089,0,1,0,0,0.20496611396949532,0.9787690698649216,0.4012289854475009,0.9159777842484877
2009-01-13,-0.9925175160933347,0.3590581673907724,-1.1929480480269756,-1.2461167866675504,-0.3852699320697124,-0.02970317344196907,-1.1964793959178373,-1.6356231535835908,-0.8044082071601062,-0.6015393770080089,1,1,0,0,0.22177215755648186,0.975098513039961,0.4324994021339788,0.901634220265486
2009-01-14,-1.0722453526808964,-0.4789106033453993,-0.9545411001335847,-1.071782026868242,-0.04061726104677315,-0.02970317344196907,-1.1954609631339457,-1.6348917876896905,-0.8044082071601062,-0.6015393770080089,2,1,0,0,0.23851257519407648,0.9711394088771653,0.4632579225674917,0.88622350294858
2009-01-15,-1.3114288624435817,-0.4789106033453993,0.45205989243742106,-0.7761709124259365,0.47113973532062614,-0.02970317344196907,-1.1944425303500539,-1.6341604217957766,-0.8044082071601062,-0.6015393770080089,3,1,0,0,0.2551824131233728,0.9668929289391521,0.49346814167723735,0.8697638720650646
