Model,h=1d,h=3d,h=7d,h=30d,h=90d,h=180d
Seasonal Naive,4.17,4.17,4.17,6.13,9.39,11.71
OLS-Temperature,7.85,7.85,7.85,7.85,7.85,7.85
SARIMAX-1 (Filter),2.94,3.8,4.98,4.59,5.36,4.9
SARIMAX-2 (PCA),3.14,4.29,5.34,5.1,5.23,4.96
SARIMAX-3 (Ridge),2.77,3.65,3.66,4.96,5.72,5.07
SARIMAX-4 (ElasNet),3.02,3.58,4.43,4.76,5.55,5.11
