date,temp_c,wind_ms,precip_mm,sunshine_h,cloudiness,nao,wind_energy_gwh,solar_energy_gwh,day_of_week,month,is_weekend,is_holiday,sin1_ann,cos1_ann,sin2_ann,cos2_ann
2009-01-01,-1.821687016603977,-1.2903249722709775,-0.4789106033453993,-1.1452666584482973,1.0400310251194558,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,3,1,0,1,0.017201575418260506,0.9998520419557735,0.03439806061360801,0.9994082116062598
2009-01-02,-1.853578151239002,-0.8623714661150452,-0.37416450700337783,-0.9545411001335847,-0.3022580368450873,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,4,1,0,0,0.03439806061360801,0.9994082116062598,0.06875540848113941,0.9976335468520451
2009-01-03,-2.1565439302717366,-1.0763482191930116,-0.4789106033453993,-1.1929480480269756,0.14517165047642705,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,5,1,1,0,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646
2009-01-04,-1.359265564396119,0.278837883634107,0.3590581673907724,-1.1929480480269756,1.0400310251194558,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,6,1,1,0,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833
2009-01-05,-1.917360420509051,1.2773960646646156,-0.038976998708909145,-0.28700164603209055,-0.3022580368450873,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,0,1,0,0,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282
2009-01-06,-2.666802084432132,-0.9336970504743674,-0.4789106033453993,0.42821919764808186,-2.539406473452659,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,1,1,0,0,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216
2009-01-07,-1.853578151239002,-1.0050226348336895,-0.4370121648085907,-0.9307004053442457,0.5926013377979414,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,2,1,0,0,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653
2009-01-08,-2.443564141986959,-1.0050226348336895,-0.4789106033453993,-1.1929480480269756,0.5926013377979414,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,3,1,0,0,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545
2009-01-09,-2.8262577576072556,-1.7896040627862317,-0.4789106033453993,0.35669711328006465,-2.539406473452659,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,4,1,0,0,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676
2009-01-10,-2.8103121902897428,-0.9336970504743674,-0.4789106033453993,0.42821919764808186,-2.539406473452659,-0.02970317344196907,-0.8044082071601062,-0.6015393770080089,5,1,1,0,0.17117705961019986,0.985240282501282,0.3373010691361842,0.9413968285264122
